pilot_snr_db,nmse,method,mean_sr
0,0.5,SAC,1.901582
0,0.5,SCA+GSS,3.677369
0,0.5,MRT,4.737953
0,0.5,FPA ($\phi$=0.9),3.135524
0,0.5,FPA ($\phi$=0.5),1.251697
5,0.240253,SAC,2.497822
5,0.240253,SCA+GSS,4.365022
5,0.240253,MRT,4.806138
5,0.240253,FPA ($\phi$=0.9),3.971781
5,0.240253,FPA ($\phi$=0.5),1.928229
10,0.090909,SAC,3.536045
10,0.090909,SCA+GSS,5.454188
10,0.090909,MRT,4.861604
10,0.090909,FPA ($\phi$=0.9),5.186823
10,0.090909,FPA ($\phi$=0.5),3.035931
15,0.030653,SAC,4.918984
15,0.030653,SCA+GSS,6.881693
15,0.030653,MRT,4.889619
15,0.030653,FPA ($\phi$=0.9),6.653496
15,0.030653,FPA ($\phi$=0.5),4.45642
20,0.009901,SAC,6.477368
20,0.009901,SCA+GSS,8.42895
20,0.009901,MRT,4.901899
20,0.009901,FPA ($\phi$=0.9),8.24424
20,0.009901,FPA ($\phi$=0.5),6.030902
25,0.003152,SAC,8.104056
25,0.003152,SCA+GSS,10.05849
25,0.003152,MRT,4.907617
25,0.003152,FPA ($\phi$=0.9),9.882848
25,0.003152,FPA ($\phi$=0.5),7.664061
30,0.000999,SAC,9.753929
30,0.000999,SCA+GSS,11.708256
30,0.000999,MRT,4.91051
30,0.000999,FPA ($\phi$=0.9),11.536905
30,0.000999,FPA ($\phi$=0.5),9.316622
inf,0.0,SAC,22.513866
inf,0.0,SCA+GSS,23.131142
inf,0.0,MRT,4.913957
inf,0.0,FPA ($\phi$=0.9),22.491472
inf,0.0,FPA ($\phi$=0.5),22.609593
