Distance,SAC,MRT,Convex,FPA ($\phi$=0.9),FPA ($\phi$=0.8),FPA ($\phi$=0.7)
0.01,5.865216,0.028049,15.349156,5.840139,6.728679,7.253967
0.54,15.772993,6.850087,16.415092,16.010667,16.010850,15.906514
1.06,16.402312,9.318626,15.711505,16.538868,16.433268,16.264609
1.59,16.250410,9.801303,16.955157,16.552764,16.418994,16.239688
2.11,15.790851,10.909792,16.236086,16.096959,15.936267,15.746748
2.64,15.200115,10.048037,15.934816,15.384605,15.340112,15.226011
3.16,16.203335,11.835085,16.081476,16.504959,16.342817,16.152822
3.69,16.019834,11.041264,15.617100,16.184036,16.047491,15.867604
4.22,16.034886,12.627974,15.723406,16.310586,16.145567,15.954581
4.74,16.077580,12.872215,15.501053,16.219834,16.053257,15.861736
5.27,16.393301,14.145456,18.112165,16.827810,16.658638,16.466246
5.79,16.268563,13.135426,18.938589,16.544894,16.468112,16.326346
6.32,16.142064,13.458166,15.740749,16.287813,16.122978,15.932067
6.85,15.952173,13.646021,15.844240,16.153661,15.984674,15.792345
7.37,16.349368,13.903977,17.958692,16.683499,16.516196,16.324432
7.90,16.156379,13.880461,17.466522,16.527117,16.368234,16.179460
8.42,16.142042,14.399806,17.629887,16.445207,16.276683,16.084510
8.95,16.225359,13.121077,16.861822,16.619303,16.464544,16.277235
9.47,16.167921,14.254525,15.416380,16.463923,16.312498,16.126585
10.00,16.037299,12.114142,18.015085,16.421332,16.265377,16.077633
