Transmit_Power_dBm,SAC,MRT,Convex,FPA ($\phi$=0.9),FPA ($\phi$=0.8),FPA ($\phi$=0.7),FPA ($\phi$=0.5),FPA ($\phi$=0.3),FPA ($\phi$=0.1)
0.00,nan,8.140653,nan,14.941472,14.895534,14.749268,14.303217,13.583854,12.009079
3.33,nan,11.553664,nan,16.531373,16.383362,16.198280,15.719007,14.984722,13.401342
6.67,nan,12.444257,nan,17.250279,17.112533,16.931450,16.455616,15.722868,14.140324
10.00,nan,11.025973,nan,19.207615,19.077550,18.899079,18.425352,17.693508,16.111436
13.33,nan,12.005835,nan,19.935829,19.784599,19.598344,19.118090,18.383360,16.799652
16.67,nan,11.352599,nan,21.049769,20.935226,20.762661,20.293981,19.564393,17.983588
20.00,nan,9.436107,nan,21.553816,21.498844,21.356313,20.917835,20.203434,18.631774
23.33,nan,8.986020,nan,23.270049,23.155673,22.982706,22.513486,21.783599,20.202606
26.67,nan,13.926844,nan,25.173929,25.006292,24.814413,24.329600,23.592898,22.008082
30.00,nan,15.893111,nan,25.436316,25.268206,25.076169,24.591229,23.854472,22.269626
